,dU11,dU12,dU21,dU22,vol_req,seed
1052,0.5094,-0.2013,-0.2013,-0.0432,0.2744,27.0
1053,0.1119,0.322,0.322,-0.2766,0.4299,43.0
1054,0.7344,0.1144,0.1144,0.7744,0.1499,15.0
1055,-0.2356,-0.0434,-0.0434,0.1643,0.3302,33.0
1056,-0.1163,-0.3228,-0.3228,0.4836,0.4988,50.0
1057,-0.3518,0.2658,0.2658,0.8303,0.2063,21.0
1058,0.2637,-0.0009,-0.0009,0.6884,0.3737,37.0
1059,0.1258,-0.1382,-0.1382,0.0147,0.1056,11.0
1060,0.8355,-0.071,-0.071,0.1837,0.114,11.0
1061,0.3349,0.2817,0.2817,0.2369,0.2817,28.0
1062,0.4467,0.1818,0.1818,0.6658,0.2242,22.0
1063,-0.3239,-0.0045,-0.0045,-0.3116,0.3956,40.0
1064,0.5252,-0.4902,-0.4902,-0.2517,0.3191,32.0
1065,0.6152,0.1345,0.1345,0.139,0.1602,16.0
1066,0.4516,0.0036,0.0036,0.5005,0.4409,44.0
1067,-0.0512,0.2645,0.2645,-0.1888,0.2642,26.0
1068,0.0456,-0.0474,-0.0474,0.3223,0.1663,17.0
1069,0.1262,0.2823,0.2823,0.1648,0.4535,45.0
1070,0.9234,-0.0197,-0.0197,0.9442,0.0594,6.0
1071,-0.086,-0.0368,-0.0368,-0.1741,0.3363,34.0
1072,-0.0789,-0.2361,-0.2361,0.8924,0.2372,24.0
1073,0.0886,0.3935,0.3935,0.7962,0.4117,41.0
1074,0.341,0.0497,0.0497,0.3088,0.1292,13.0
1075,-0.1967,0.0071,0.0071,-0.0314,0.2938,29.0
1076,0.3218,-0.2081,-0.2081,0.2774,0.3616,36.0
1077,0.4272,0.1121,0.1121,-0.3173,0.0904,9.0
1078,0.7657,-0.0169,-0.0169,0.7223,0.4828,48.0
1079,-0.3003,-0.2419,-0.2419,-0.0222,0.1933,19.0
1080,0.3627,-0.2189,-0.2189,-0.3054,0.0715,7.0
1081,0.526,0.4029,0.4029,-0.0154,0.3515,35.0
1082,0.7734,-0.1319,-0.1319,0.7139,0.1823,18.0
1083,0.2056,0.0141,0.0141,0.0358,0.4665,47.0
1084,0.2854,-0.353,-0.353,0.3135,0.428,43.0
1085,0.1882,0.0207,0.0207,0.3025,0.2481,25.0
1086,0.8099,0.1086,0.1086,0.584,0.3039,30.0
1087,-0.4307,0.0883,0.0883,-0.3547,0.1481,15.0
1088,-0.2279,-0.2082,-0.2082,0.2867,0.3462,35.0
1089,0.0027,0.5001,0.5001,0.5392,0.0768,8.0
1090,0.5525,-0.2701,-0.2701,0.6207,0.4718,47.0
1091,0.0121,-0.0062,-0.0062,-0.0345,0.1771,18.0
1092,0.522,-0.2107,-0.2107,0.3765,0.2534,25.0
1093,0.6146,0.0111,0.0111,0.2057,0.4227,42.0
1094,0.615,0.026,0.026,0.7174,0.1428,14.0
1095,-0.383,0.0181,0.0181,-0.4135,0.3092,31.0
1096,0.7784,-0.4804,-0.4804,-0.257,0.4135,41.0
1097,0.4796,0.3472,0.3472,0.1561,0.2354,24.0
1098,0.3948,0.0556,0.0556,0.3971,0.292,29.0
1099,0.1,0.0442,0.0442,-0.1223,0.131,13.0
1100,0.1692,-0.2212,-0.2212,0.2603,0.0887,9.0
1101,-0.3934,0.0766,0.0766,0.3764,0.3633,36.0
1102,0.9393,0.0541,0.0541,0.7679,0.1951,20.0
1103,0.048,-0.0949,-0.0949,-0.088,0.481,48.0
1104,0.04,-0.4077,-0.4077,0.5661,0.1584,16.0
1105,0.203,0.2282,0.2282,0.8551,0.3209,32.0
1106,0.4221,-0.0126,-0.0126,0.5234,0.266,27.0
1107,-0.177,0.1684,0.1684,-0.1246,0.4392,44.0
1108,0.256,-0.0021,-0.0021,0.1334,0.4553,46.0
1109,0.2674,0.3291,0.3291,0.0161,0.1646,16.0
1110,0.8919,-0.0937,-0.0937,0.7063,0.3346,33.0
1111,-0.4696,-0.0758,-0.0758,-0.1151,0.0612,6.0
1112,0.307,-0.3911,-0.3911,-0.0766,0.2116,21.0
1113,0.6284,0.4151,0.4151,-0.3258,0.4935,49.0
1114,0.6603,-0.0146,-0.0146,0.5658,0.1003,10.0
1115,0.1731,-0.017,-0.017,0.176,0.379,38.0
1116,-0.0951,-0.0551,-0.0551,0.8653,0.2765,28.0
1117,0.111,0.1111,0.1111,0.1729,0.1193,12.0
1118,0.8062,0.1951,0.1951,0.5166,0.4009,40.0
1119,-0.2385,-0.004,-0.004,-0.2521,0.2189,22.0
1120,0.3433,-0.5191,-0.5191,0.2524,0.0503,5.0
1121,0.8543,0.1325,0.1325,-0.0027,0.3446,34.0
1122,0.3566,-0.0308,-0.0308,0.2856,0.1754,18.0
1123,-0.1633,0.0773,0.0773,-0.2393,0.4454,45.0
1124,0.2147,-0.1051,-0.1051,0.5715,0.4352,44.0
1125,-0.2366,0.3879,0.3879,0.3401,0.2691,27.0
1126,0.7693,0.043,0.043,0.7453,0.325,32.0
1127,0.24,-0.0329,-0.0329,-0.3368,0.1552,16.0
1128,-0.1328,-0.3761,-0.3761,-0.0163,0.23,23.0
1129,-0.1483,0.0967,0.0967,0.6253,0.3908,39.0
1130,0.5534,-0.1347,-0.1347,0.9378,0.1082,11.0
1131,-0.0118,0.07,0.07,0.0783,0.2867,29.0
1132,0.7101,-0.1359,-0.1359,0.0761,0.3828,38.0
1133,0.3459,0.1106,0.1106,0.1271,0.0973,10.0
1134,0.6267,0.2196,0.2196,0.7941,0.4898,49.0
1135,-0.2005,0.003,0.003,-0.3705,0.2145,21.0
1136,0.4619,-0.1201,-0.1201,-0.1438,0.312,31.0
1137,0.3282,0.6706,0.6706,0.3002,0.1391,14.0
1138,0.6721,-0.1942,-0.1942,0.4908,0.42,42.0
1139,0.0237,-0.0458,-0.0458,0.1225,0.257,26.0
1140,0.2556,-0.3423,-0.3423,0.7469,0.1875,19.0
1141,-0.0641,0.1571,0.1571,0.4348,0.4605,46.0
1142,0.679,0.0375,0.0375,0.3004,0.0663,7.0
1143,-0.2752,-0.1239,-0.1239,-0.3265,0.3576,36.0
1144,-0.387,-0.1338,-0.1338,0.6109,0.4776,48.0
1145,0.421,0.2936,0.2936,0.4946,0.1994,20.0
1146,0.5892,0.0148,0.0148,0.5733,0.3668,37.0
1147,-0.387,0.2233,0.2233,0.1641,0.0843,8.0
1148,0.3209,-0.1787,-0.1787,0.0192,0.1211,12.0
1149,0.3106,0.135,0.135,-0.2205,0.3028,30.0
1150,0.9029,-0.0023,-0.0023,0.8202,0.2452,25.0
1151,-0.1684,-0.161,-0.161,-0.0575,0.4028,40.0
1152,0.3427,-0.2653,-0.2653,-0.1684,0.26,26.0
1153,0.769,0.2373,0.2373,-0.3371,0.417,42.0
1154,0.7546,-0.0081,-0.0081,0.3349,0.1344,13.0
1155,-0.0048,-0.0731,-0.0731,0.0482,0.3167,32.0
1156,0.2558,-0.0788,-0.0788,0.9548,0.3529,35.0
1157,0.2084,0.327,0.327,0.3177,0.071,7.0
1158,0.65,0.1748,0.1748,0.4203,0.4635,46.0
1159,-0.1662,-0.0696,-0.0696,-0.3738,0.1845,18.0
1160,-0.2048,-0.4386,-0.4386,0.4787,0.0802,8.0
1161,0.2563,0.112,0.112,0.6448,0.3709,37.0
1162,0.4785,-0.0074,-0.0074,0.6168,0.2016,20.0
1163,-0.2369,0.2373,0.2373,-0.0943,0.4754,48.0
1164,0.3429,-0.0519,-0.0519,0.0232,0.4051,41.0
1165,0.0539,0.3304,0.3304,-0.0021,0.2428,24.0
1166,0.8788,0.0642,0.0642,0.9409,0.2987,30.0
1167,-0.1433,-0.0522,-0.0522,-0.0272,0.1252,13.0
1168,0.8093,-0.2513,-0.2513,-0.1405,0.4479,45.0
1169,0.7834,0.3515,0.3515,0.1941,0.1728,17.0
1170,0.4216,-0.0154,-0.0154,0.4109,0.3403,34.0
1171,0.0396,0.0089,0.0089,-0.2227,0.0545,5.0
1172,0.2938,-0.2092,-0.2092,0.3549,0.1509,15.0
1173,-0.4799,0.1266,0.1266,0.4987,0.3292,33.0
1174,0.6483,-0.004,-0.004,0.6585,0.2716,27.0
1175,0.0232,-0.2845,-0.2845,-0.2986,0.4326,43.0
1176,-0.3027,-0.1579,-0.1579,0.2212,0.2822,28.0
1177,0.007,0.409,0.409,0.6021,0.1127,11.0
1178,0.7004,-0.2021,-0.2021,0.788,0.3935,39.0
1179,-0.0774,0.0226,0.0226,0.1821,0.2272,23.0
1180,0.3228,-0.4461,-0.4461,0.3196,0.2172,22.0
1181,0.2772,0.0324,0.0324,0.1166,0.487,49.0
1182,0.5649,0.1232,0.1232,0.8293,0.0928,9.0
1183,-0.2573,0.0467,0.0467,-0.2993,0.3873,39.0
1184,-0.2368,-0.0829,-0.0829,0.7167,0.4434,44.0
1185,0.3926,0.4046,0.4046,0.5687,0.2617,26.0
1186,0.2984,-0.0884,-0.0884,0.4273,0.3183,32.0
1187,-0.354,0.0719,0.0719,-0.1148,0.1609,16.0
1188,0.2666,-0.0652,-0.0652,0.2078,0.0586,6.0
1189,0.4602,0.243,0.243,-0.0622,0.3371,34.0
1190,0.9877,-0.0399,-0.0399,0.7894,0.1689,17.0
1191,-0.1772,-0.1415,-0.1415,-0.176,0.451,45.0
1192,0.5789,-0.0366,-0.0366,-0.4801,0.3762,38.0
1193,0.287,0.5276,0.5276,-0.075,0.103,10.0
1194,0.6644,-0.0839,-0.0839,0.5239,0.498,50.0
1195,0.1482,-0.021,-0.021,0.2274,0.2071,21.0
1196,0.2263,-0.3508,-0.3508,0.6227,0.2235,22.0
1197,0.0324,0.1343,0.1343,0.3715,0.3964,40.0
1198,0.9103,0.0666,0.0666,0.3976,0.1165,12.0
1199,-0.2271,0.0457,0.0457,-0.2139,0.2792,28.0
1200,0.0484,-0.2623,-0.2623,0.2065,0.1818,18.0
1201,-0.2521,0.0647,0.0647,0.9608,0.4671,47.0
1202,0.4209,-0.1249,-0.1249,0.8547,0.0738,7.0
1203,0.0312,-0.0226,-0.0226,-0.004,0.3492,35.0
1204,0.5734,-0.1812,-0.1812,0.17,0.3062,31.0
1205,0.3799,0.1276,0.1276,0.256,0.1458,15.0
1206,0.6298,0.0675,0.0675,0.6414,0.4274,43.0
1207,-0.4481,0.0023,0.0023,-0.4626,0.2487,25.0
1208,0.4877,-0.6077,-0.6077,0.0484,0.1286,13.0
1209,0.7272,0.0165,0.0165,-0.1177,0.2944,29.0
1210,0.2901,0.0689,0.0689,0.6104,0.2395,24.0
1211,0.1537,0.1486,0.1486,-0.132,0.4094,41.0
1212,0.0084,-0.1514,-0.1514,0.4589,0.4851,49.0
1213,-0.189,0.273,0.273,0.169,0.191,19.0
1214,0.8291,0.0204,0.0204,0.8223,0.361,36.0
1215,0.1439,-0.0506,-0.0506,-0.3042,0.091,9.0
1216,0.3121,-0.6401,-0.6401,0.3814,0.2891,29.0
1217,-0.0212,0.1465,0.1465,0.8271,0.1339,13.0
1218,0.2987,-0.0012,-0.0012,0.3015,0.4147,41.0
1219,-0.1343,0.0544,0.0544,-0.079,0.2342,23.0
1220,0.4637,-0.0636,-0.0636,0.2262,0.1963,20.0
1221,0.4249,0.3763,0.3763,-0.1833,0.4798,48.0
1222,0.7307,0.0002,0.0002,0.7308,0.0857,9.0
1223,-0.3597,-0.0274,-0.0274,0.075,0.3663,37.0
1224,0.0499,-0.3962,-0.3962,-0.1071,0.4688,47.0
1225,0.6982,0.0997,0.0997,-0.2727,0.18,18.0
1226,0.7795,-0.1086,-0.1086,0.4762,0.3474,35.0
1227,0.0638,0.0516,0.0516,-0.0013,0.0756,8.0
1228,0.0131,-0.156,-0.156,0.6826,0.144,14.0
1229,0.268,0.0436,0.0436,0.3489,0.308,31.0
1230,0.8499,0.1743,0.1743,0.7112,0.2505,25.0
1231,-0.4361,0.0032,0.0032,-0.1295,0.4257,43.0
1232,-0.1649,-0.1336,-0.1336,0.5352,0.1013,10.0
1233,0.1966,0.6932,0.6932,0.244,0.378,38.0
1234,0.4972,-0.0914,-0.0914,0.5752,0.2088,21.0
1235,0.1467,-0.0481,-0.0481,0.0496,0.4963,50.0
1236,0.7368,-0.3057,-0.3057,0.3085,0.3982,40.0
1237,0.4682,0.1225,0.1225,0.0889,0.2217,22.0
1238,0.41,0.0194,0.0194,0.6585,0.2775,28.0
1239,-0.4027,-0.1226,-0.1226,-0.3415,0.1183,12.0
1240,0.7708,-0.1512,-0.1512,-0.3129,0.267,27.0
1241,0.4916,0.3196,0.3196,0.4177,0.4382,44.0
1242,0.5123,0.0351,0.0351,0.5538,0.1556,16.0
1243,0.1217,0.1567,0.1567,-0.3005,0.3236,32.0
1244,-0.0232,-0.1423,-0.1423,0.2244,0.3318,33.0
1245,-0.1554,0.0995,0.0995,0.2503,0.0639,6.0
1246,0.8913,-0.0015,-0.0015,0.9267,0.4563,46.0
1247,-0.1578,-0.0758,-0.0758,-0.2047,0.1636,16.0
1248,0.2773,-0.1681,-0.1681,-0.1749,0.1074,11.0
1249,0.6161,0.429,0.429,0.1101,0.2875,29.0
1250,0.6695,-0.3382,-0.3382,0.592,0.2325,23.0
1251,-0.1041,-0.0064,-0.0064,-0.0586,0.3883,39.0
1252,0.3946,-0.2608,-0.2608,0.5555,0.4923,49.0
1253,0.0901,0.0198,0.0198,0.5445,0.2119,21.0
1254,0.777,0.0764,0.0764,0.4658,0.3821,38.0
1255,-0.389,0.0169,0.0169,-0.3597,0.098,10.0
1256,-0.2779,-0.4638,-0.4638,0.6612,0.1746,17.0
1257,0.1969,0.2857,0.2857,0.4414,0.4462,45.0
1258,0.4458,0.078,0.078,0.4404,0.0528,5.0
1259,-0.2756,0.0751,0.0751,0.1187,0.3421,34.0
1260,0.3976,-0.2648,-0.2648,0.2651,0.3275,33.0
1261,0.4032,0.0642,0.0642,-0.4241,0.1527,15.0
1262,0.6995,0.0685,0.0685,0.9121,0.4344,43.0
1263,-0.119,-0.171,-0.171,0.1211,0.2698,27.0
1264,0.4739,-0.3498,-0.3498,0.0337,0.3691,37.0
1265,0.9232,0.233,0.233,0.2737,0.082,8.0
1266,0.5417,-0.0195,-0.0195,0.353,0.4771,48.0
1267,-0.1985,0.236,0.236,-0.2917,0.1999,20.0
1268,0.0637,-0.0039,-0.0039,0.4255,0.2446,24.0
1269,-0.0111,0.3265,0.3265,0.2483,0.4034,40.0
1270,0.7178,-0.0638,-0.0638,0.8361,0.1234,12.0
1271,-0.0008,-0.0918,-0.0918,-0.3938,0.3005,30.0
1272,-0.14,-0.4102,-0.4102,0.2776,0.4223,42.0
1273,-0.1867,0.3469,0.3469,0.6341,0.2547,25.0
1274,0.5931,-0.0314,-0.0314,0.7755,0.3114,31.0
1275,0.1742,0.05,0.05,0.1797,0.1397,14.0
1276,0.9345,-0.0629,-0.0629,-0.0703,0.0657,7.0
1277,0.1705,0.2039,0.2039,0.0611,0.3581,36.0
1278,0.3597,0.226,0.226,0.7255,0.1898,19.0
1279,-0.2725,-0.0137,-0.0137,-0.2214,0.4582,46.0
1280,-0.1446,-0.2262,-0.2262,0.1254,0.0989,10.0
1281,-0.1089,0.3144,0.3144,0.7252,0.3813,38.0
1282,0.3414,-0.0831,-0.0831,0.9275,0.213,21.0
1283,-0.0844,0.0064,0.0064,-0.0828,0.4912,49.0
1284,0.7788,-0.0259,-0.0259,0.2312,0.3892,39.0
1285,0.4229,0.2209,0.2209,0.2838,0.2316,23.0
1286,0.567,0.0888,0.0888,0.7239,0.2882,29.0
1287,-0.3904,-0.0171,-0.0171,-0.3213,0.1067,11.0
1288,0.4681,-0.5891,-0.5891,-0.0251,0.2707,27.0
1289,0.5962,0.2366,0.2366,0.1141,0.4335,43.0
1290,0.4218,0.0081,0.0081,0.4655,0.1537,15.0
1291,-0.079,0.15,0.15,-0.0879,0.3264,33.0
1292,-0.0044,-0.0415,-0.0415,0.5456,0.343,34.0
1293,-0.1637,0.4077,0.4077,0.0328,0.0518,5.0
1294,0.9254,0.1334,0.1334,0.7405,0.4468,45.0
1295,0.1733,-0.0958,-0.0958,-0.1287,0.1739,17.0
1296,-0.1292,-0.2571,-0.2571,0.6,0.3012,30.0
1297,0.3834,0.306,0.306,0.7654,0.1227,12.0
1298,0.4864,-0.0981,-0.0981,0.5238,0.4044,40.0
1299,-0.4191,0.0479,0.0479,0.0566,0.2436,24.0
1300,0.2897,-0.1091,-0.1091,0.2041,0.2009,20.0
1301,0.524,0.0051,0.0051,-0.2944,0.4761,48.0
1302,0.8391,-0.0465,-0.0465,0.6372,0.0828,8.0
1303,-0.389,-0.1736,-0.1736,-0.0717,0.3683,37.0
1304,0.3493,-0.2575,-0.2575,-0.254,0.459,46.0
1305,0.4699,0.5288,0.5288,-0.0769,0.189,19.0
1306,0.6512,-0.0971,-0.0971,0.6398,0.3591,36.0
1307,0.196,0.0184,0.0184,0.0918,0.0648,6.0
1308,0.2938,-0.5197,-0.5197,0.5804,0.1407,14.0
1309,-0.0555,0.0223,0.0223,0.2859,0.3104,31.0
1310,0.8318,0.1265,0.1265,0.3688,0.2555,26.0
1311,-0.1513,-0.039,-0.039,-0.215,0.4215,42.0
1312,0.8922,-0.198,-0.198,-0.2296,0.3654,37.0
1313,0.4231,0.4998,0.4998,0.3638,0.0866,9.0
1314,0.2826,-0.0074,-0.0074,0.275,0.4791,48.0
1315,-0.0968,0.0315,0.0315,-0.1707,0.197,20.0
1316,0.2301,-0.1254,-0.1254,0.4352,0.2334,23.0
1317,-0.2922,0.2215,0.2215,0.5203,0.4155,42.0
1318,0.7736,-0.0012,-0.0012,0.7922,0.1328,13.0
1319,-0.0339,-0.2259,-0.2259,-0.1588,0.2902,29.0
1320,-0.4865,-0.09,-0.09,0.4046,0.4247,42.0
1321,0.1218,0.4431,0.4431,0.2902,0.2514,25.0
1322,0.5997,-0.1665,-0.1665,0.8072,0.3073,31.0
1323,0.0633,0.0264,0.0264,0.1381,0.1447,14.0
1324,0.5344,-0.2214,-0.2214,0.1305,0.0747,7.0
1325,0.4214,0.0565,0.0565,0.1765,0.3483,35.0
1326,0.5549,0.0024,0.0024,0.9168,0.179,18.0
1327,-0.282,0.1312,0.1312,-0.3846,0.4699,47.0
1328,0.2439,-0.3593,-0.3593,0.222,0.1173,12.0
1329,0.921,0.2453,0.2453,-0.3971,0.2785,28.0
1330,0.6658,-0.1205,-0.1205,0.42,0.2209,22.0
1331,0.0583,-0.1243,-0.1243,0.1626,0.399,40.0
1332,0.1512,-0.193,-0.193,0.7607,0.4956,50.0
1333,0.0736,0.1909,0.1909,0.3386,0.2095,21.0
1334,0.5831,0.1628,0.1628,0.5043,0.377,38.0
1335,-0.2788,-0.0117,-0.0117,-0.4345,0.1022,10.0
1336,0.1191,-0.546,-0.546,0.2523,0.1625,16.0
1337,0.0899,0.0898,0.0898,0.7214,0.4574,46.0
1338,0.5898,0.0356,0.0356,0.4954,0.0631,6.0
1339,-0.2208,0.2466,0.2466,0.073,0.3326,33.0
1340,0.2801,-0.0772,-0.0772,-0.0304,0.3228,32.0
1341,0.2215,0.1767,0.1767,-0.0902,0.1564,16.0
1342,0.9358,-0.0639,-0.0639,0.8956,0.4372,44.0
1343,-0.2908,-0.0116,-0.0116,-0.0471,0.2679,27.0
1344,0.368,-0.5416,-0.5416,0.1277,0.4521,45.0
1345,0.8377,0.0627,0.0627,0.1516,0.1678,17.0
1346,0.4906,-0.0481,-0.0481,0.3329,0.3379,34.0
1347,-0.1016,0.1209,0.1209,-0.2806,0.0578,6.0
1348,0.2277,-0.0195,-0.0195,0.2689,0.1617,16.0
1349,0.0479,0.3695,0.3695,0.3838,0.3176,32.0
1350,0.8224,-0.093,-0.093,0.8245,0.2626,26.0
1351,-0.1242,-0.0504,-0.0504,-0.3712,0.4425,44.0
1352,-0.1018,-0.4846,-0.4846,0.2226,0.2802,28.0
1353,-0.4595,0.0368,0.0368,0.7051,0.1155,12.0
1354,0.4676,-0.044,-0.044,0.6372,0.3973,40.0
1355,0.1636,-0.0282,-0.0282,0.1167,0.2226,22.0
1356,0.787,-0.2778,-0.2778,0.0779,0.2078,21.0
1357,0.3008,0.1524,0.1524,0.1312,0.4974,50.0
1358,0.6399,0.2791,0.2791,0.7191,0.104,10.0
1359,-0.1453,0.0139,0.0139,-0.2559,0.3753,38.0
1360,0.3855,-0.0279,-0.0279,-0.1759,0.2497,25.0
1361,0.4946,0.5716,0.5716,0.1569,0.4265,43.0
1362,0.746,-0.1633,-0.1633,0.4959,0.1465,15.0
1363,0.0217,0.0109,0.0109,-0.0165,0.3055,31.0
1364,0.3002,-0.2543,-0.2543,0.544,0.35,35.0
1365,0.2693,0.0829,0.0829,0.4562,0.073,7.0
1366,0.659,0.012,0.012,0.584,0.4681,47.0
1367,-0.4621,-0.0152,-0.0152,-0.4644,0.1808,18.0
1368,-0.3145,-0.0286,-0.0286,0.9983,0.0919,9.0
1369,0.2317,0.3804,0.3804,0.5144,0.3601,36.0
1370,0.5216,0.0878,0.0878,0.3509,0.1918,19.0
1371,-0.1434,0.0642,0.0642,0.1493,0.4844,48.0
1372,0.3427,-0.2325,-0.2325,0.0324,0.4102,41.0
1373,0.1967,0.1753,0.1753,-0.3209,0.2387,24.0
1374,0.7224,0.0201,0.0201,0.8953,0.2954,30.0
1375,-0.1175,-0.1534,-0.1534,-0.0649,0.1276,13.0
1376,-0.1984,-0.1503,-0.1503,0.4858,0.1838,18.0
1377,-0.1417,0.4324,0.4324,0.6979,0.4642,46.0
1378,0.4401,-0.2293,-0.2293,0.6101,0.0701,7.0
1379,0.1137,-0.0052,-0.0052,-0.1218,0.3538,35.0
1380,0.6295,-0.3784,-0.3784,0.5005,0.3157,32.0
1381,0.5322,0.0709,0.0709,-0.0748,0.1355,14.0
1382,0.3112,0.1524,0.1524,0.7605,0.4162,42.0
1383,-0.3131,-0.0571,-0.0571,-0.237,0.2608,26.0
1384,0.5818,-0.2759,-0.2759,-0.3887,0.1245,12.0
1385,0.5549,0.1808,0.1808,0.2775,0.2994,30.0
1386,0.5269,-0.0069,-0.0069,0.5228,0.2419,24.0
1387,0.1086,0.0299,0.0299,-0.4968,0.4061,41.0
1388,0.2243,-0.1962,-0.1962,0.2549,0.4743,47.0
1389,-0.2063,0.0939,0.0939,0.3824,0.2027,20.0
1390,0.9411,0.0243,0.0243,0.8862,0.37,37.0
1391,-0.0364,-0.1066,-0.1066,-0.1388,0.0811,8.0
1392,0.0205,-0.3849,-0.3849,0.6585,0.4318,43.0
1393,0.0533,0.2262,0.2262,0.9229,0.2725,27.0
1394,0.3604,0.0002,0.0002,0.3534,0.3282,33.0
1395,-0.1947,0.1489,0.1489,-0.0952,0.1519,15.0
1396,0.6071,-0.0647,-0.0647,0.0932,0.0536,5.0
1397,0.0914,0.4418,0.4418,-0.0334,0.3413,34.0
1398,0.6886,-0.0064,-0.0064,0.6815,0.1721,17.0
1399,-0.3535,-0.1986,-0.1986,0.1525,0.4486,45.0
1400,0.1757,-0.2888,-0.2888,-0.2525,0.3866,39.0
1401,0.6822,0.2322,0.2322,-0.0807,0.0936,9.0
1402,0.9571,-0.033,-0.033,0.5946,0.486,49.0
1403,0.1244,0.1565,0.1565,0.0547,0.2183,22.0
1404,-0.0288,-0.1542,-0.1542,0.7282,0.2263,23.0
1405,0.2182,0.118,0.118,0.221,0.3944,39.0
1406,0.7111,0.1612,0.1612,0.5644,0.1119,11.0
1407,-0.3706,0.0366,0.0366,-0.2929,0.283,28.0
1408,-0.2587,-0.1785,-0.1785,0.8764,0.1542,15.0
1409,0.4071,0.3786,0.3786,0.4783,0.3259,33.0
1410,0.3584,-0.0296,-0.0296,0.3878,0.2684,27.0
1411,-0.2257,0.0623,0.0623,-0.0845,0.4359,44.0
1412,0.4983,-0.1285,-0.1285,0.3043,0.4445,44.0
1413,0.5253,0.2744,0.2744,-0.3943,0.1762,18.0
1414,0.6284,0.0075,0.0075,0.7503,0.3436,34.0
1415,-0.1988,-0.2685,-0.2685,-0.0462,0.0513,5.0
1416,0.2817,-0.084,-0.084,-0.4144,0.2136,21.0
1417,0.3161,0.4226,0.4226,0.1884,0.4907,49.0
1418,0.818,-0.184,-0.184,0.5841,0.0966,10.0
1419,0.0601,0.0538,0.0538,-0.0949,0.3836,38.0
1420,0.1272,-0.2823,-0.2823,0.6809,0.2859,29.0
1421,0.1511,0.0427,0.0427,0.3556,0.109,11.0
1422,0.9878,0.0074,0.0074,0.4901,0.3897,39.0
1423,-0.2953,0.0872,0.0872,-0.2303,0.231,23.0
1424,0.135,-0.3369,-0.3369,0.1437,0.3565,36.0
1425,-0.3203,0.239,0.239,0.8972,0.0673,7.0
1426,0.4402,-0.1165,-0.1165,0.6951,0.4597,46.0
1427,0.0731,-0.0178,-0.0178,0.0567,0.1883,19.0
1428,0.9131,-0.2273,-0.2273,0.1845,0.2563,26.0
1429,0.3889,0.2296,0.2296,0.0654,0.4207,42.0
1430,0.4398,0.1641,0.1641,0.5057,0.1382,14.0
1431,-0.4555,-0.0273,-0.0273,-0.168,0.3129,31.0
1432,0.2509,-0.5202,-0.5202,0.115,0.4018,40.0
1433,0.7948,0.0748,0.0748,0.2512,0.2462,25.0
1434,0.5893,-0.0204,-0.0204,0.5393,0.3019,30.0
1435,0.0267,0.2734,0.2734,-0.2715,0.1219,12.0
1436,-0.0906,-0.1127,-0.1127,0.3445,0.0836,8.0
1437,-0.1868,0.2138,0.2138,0.1785,0.3675,37.0
1438,0.8557,0.0222,0.0222,0.8399,0.1984,20.0
1439,-0.0222,-0.0058,-0.0058,-0.22,0.4786,48.0
1440,0.2423,-0.2926,-0.2926,-0.0764,0.31,31.0
1441,0.7726,0.3614,0.3614,-0.1121,0.142,14.0
1442,0.8567,-0.0809,-0.0809,0.2711,0.4237,42.0
1443,-0.0477,-0.0609,-0.0609,-0.0319,0.2524,25.0
1444,0.1609,-0.015,-0.015,0.6627,0.178,18.0
1445,0.3182,0.1715,0.1715,0.4393,0.4708,47.0
1446,0.7456,0.0889,0.0889,0.5939,0.0775,8.0
1447,-0.4687,0.0355,0.0355,-0.332,0.3455,35.0
1448,-0.0749,-0.6459,-0.6459,0.5212,0.4818,48.0
1449,0.0031,0.2587,0.2587,0.5699,0.1943,19.0
1450,0.4831,0.042,0.042,0.2689,0.3644,36.0
1451,-0.039,0.1729,0.1729,-0.0343,0.0876,9.0
1452,0.5154,-0.0468,-0.0468,0.0211,0.1319,13.0
1453,0.1244,0.3654,0.3654,-0.0228,0.2911,29.0
1454,0.8141,0.057,0.057,0.8946,0.2361,24.0
1455,-0.1559,-0.0814,-0.0814,0.1056,0.4127,41.0
1456,0.6703,-0.2538,-0.2538,-0.0601,0.0619,6.0
1457,0.757,0.3651,0.3651,0.294,0.3338,33.0
1458,0.4147,-0.029,-0.029,0.406,0.1655,17.0
1459,-0.0138,0.0468,0.0468,-0.4003,0.4544,45.0
1460,0.1822,-0.1104,-0.1104,0.2644,0.4402,44.0
1461,-0.1255,0.0087,0.0087,0.4543,0.2649,26.0
1462,0.7085,-0.0524,-0.0524,0.9586,0.3216,32.0
1463,-0.1188,-0.1362,-0.1362,-0.3854,0.1576,16.0
1464,-0.2486,-0.3255,-0.3255,0.4894,0.2196,22.0
1465,-0.1032,0.5106,0.5106,0.4042,0.4002,40.0
1466,0.6447,-0.0296,-0.0296,0.6503,0.1202,12.0
1467,0.2066,0.0026,0.0026,0.223,0.2755,28.0
1468,0.532,-0.426,-0.426,0.2892,0.38,38.0
1469,0.3103,0.0182,0.0182,0.0134,0.0993,10.0
1470,0.3908,0.1241,0.1241,0.8072,0.4944,49.0
1471,-0.3033,-0.0024,-0.0024,-0.2998,0.2108,21.0
1472,0.5019,-0.1738,-0.1738,-0.2618,0.395,39.0
1473,0.6454,0.4906,0.4906,-0.2829,0.2249,22.0
